id;name;old_name;name_display
360;;Філатова Академіка;Філатова Академіка
283;;Флоренції;Флоренції
917;;Франка Iвана;Франка Iвана
303;;Франка Івана;Франка Івана
773;;Фролівська;Фролівська
99;;Фрометівська;Фрометівська
152;Кирилівська;Фрунзе;Кирилівська / Фрунзе
540;;Фучика Юліуса;Фучика Юліуса
73;;Харківське;Харківське
521;;Хмельницька;Хмельницька
301;;Хмельницького Богдана;Хмельницького Богдана
583;;Хорива;Хорива
267;;Хорольська;Хорольська
635;;Хорольський;Хорольський
763;;Хотівська;Хотівська
495;;Хохлових cім'ї;Хохлових cім'ї
918;;Хохлових Сiм'ї;Хохлових Сiм'ї
224;;Хрещатик;Хрещатик
396;;Царика Григорія;Царика Григорія
232;;Цвєтаєвої;Цвєтаєвої
359;;Цитадельна;Цитадельна
21;;Ціолковського;Ціолковського
969;Дудника Георгія;Цюрупинська;Дудника Георгія / Цюрупинська
716;;Цюрупинська;Цюрупинська
741;;Чаадаєва Петра;Чаадаєва Петра
794;Липинського В'ячеслава;Чапаєва;Липинського В'ячеслава / Чапаєва
72;;Челябінська;Челябінська
108;Велика Васильківська;Червоноармійська;Велика Васильківська / Червоноармійська
858;Заплавна;Червоноармійська;Заплавна / Червоноармійська
962;Хоткевича Гната;Червоногвардійська;Хоткевича Гната / Червоногвардійська
564;;Червоногвардійська;Червоногвардійська
419;;Червонозаводська;Червонозаводська
614;;Червонозаводський;Червонозаводський
100;Лобановського Валерія;Червонозоряний;Лобановського Валерія / Червонозоряний
939;Зерових братів;Червонопартизанська;Зерових братів / Червонопартизанська
60;;Червонопартизанська;Червонопартизанська
256;;Червонопільська;Червонопільська
167;Пирогівський шлях;Червонопрапорна;Пирогівський шлях / Червонопрапорна
566;;Червоноткацька;Червоноткацька
972;Максименка Федора;Червонофлотська;Максименка Федора / Червонофлотська
811;;Червонофлотська;Червонофлотська
427;;Черкаська;Черкаська
617;;Чернігівська;Чернігівська
462;;Черняхівського;Черняхівського
919;;Черняховського;Черняховського
376;;Чеська;Чеська
463;;Чеховський;Чеховський
780;;Чигиринський;Чигиринський
364;;Чигоріна;Чигоріна
548;;Чистяківська;Чистяківська
446;;Чоколівський;Чоколівський
515;;Чорнобильська;Чорнобильська
62;;Чорновола  Вячеслава;Чорновола  Вячеслава
842;;Чорновола В'ячеслава;Чорновола В'ячеслава
478;;Чугуївський;Чугуївський
970;Чупринки Григорія;Чудновського;Чупринки Григорія / Чудновського
730;;Чудновського;Чудновського
703;;Чумака Василя;Чумака Василя
725;;Шалетт Міста;Шалетт Міста
920;;Шамрила Тимофiя;Шамрила Тимофiя
465;;Шамрила Тимофія;Шамрила Тимофія
684;;Шевцова Івана;Шевцова Івана
430;;Шевченка Тараса;Шевченка Тараса
447;;Шепелєва Миколи;Шепелєва Миколи
790;Вифлеємська;Шліхтера Академіка;Вифлеємська / Шліхтера Академіка
921;;Шмiдта Отто;Шмiдта Отто
282;;Шмідта Отто;Шмідта Отто
294;;Шовковична;Шовковична
491;;Шовкуненка;Шовкуненка
248;;Шолом-Алейхема;Шолом-Алейхема
685;;Шолуденка;Шолуденка
686;;Шпака Миколи;Шпака Миколи
641;;Шполянська;Шполянська
742;;Шулявська;Шулявська
284;;Шумського Юрія;Шумського Юрія
642;;Щекавицька;Щекавицька
989;;Щербаківського Данила;Щербаківського Данила
945;Щербаківського Данила;Щербакова;Щербаківського Данила / Щербакова
182;;Щербакова;Щербакова
18;;Щоглівський;Щоглівський
795;Коновальця Євгена;Щорса;Коновальця Євгена / Щорса
796;Новогоспітальна;Щорса;Новогоспітальна / Щорса
922;;Щусєва Академiка;Щусєва Академiка
553;;Щусєва Академіка;Щусєва Академіка
847;;Юнкерова;Юнкерова
861;;Юнкерова Миколи;Юнкерова Миколи
731;;Юності;Юності
340;;Юри Гната;Юри Гната
864;;Юрія Кондратюка;Юрія Кондратюка
634;;Юрківська;Юрківська
415;;Яблонської Тетяни;Яблонської Тетяни
28;;Ягідна;Ягідна
923;;Якiра;Якiра
966;Деревлянська;Якіра;Деревлянська / Якіра
662;;Якіра;Якіра
165;;Якубовського маршала;Якубовського маршала
848;;Якутська;Якутська
77;;Ялтинська;Ялтинська
772;;Ямська;Ямська
148;;Яна Василя;Яна Василя
416;;Янгеля академіка;Янгеля академіка
924;;Ярмоли Вiктора;Ярмоли Вiктора
743;;Ярмоли Віктора;Ярмоли Віктора
925;;Ярославiв Вал;Ярославiв Вал
509;;Ярослава Гашека;Ярослава Гашека
442;;Ярославів Вал;Ярославів Вал
580;;Ярославська;Ярославська
596;;Ясногірська;Ясногірська
